demo,top,top_og,selection_rate,disparate_impact_ratio,job,model,feature,rank,age
Portuguese_W,70,65,0.1076923076923077,0.6140350877192983,Sales Consultant Software,gpt-3.5-turbo,standard,1,
Turkish_M,66,65,0.10153846153846154,0.5789473684210527,Sales Consultant Software,gpt-3.5-turbo,standard,1,
Kosovo_M,56,65,0.08615384615384615,0.49122807017543857,Sales Consultant Software,gpt-3.5-turbo,standard,1,
Swiss_W,54,65,0.08307692307692308,0.47368421052631576,Sales Consultant Software,gpt-3.5-turbo,standard,1,
Turkish_W,50,65,0.07692307692307693,0.4385964912280702,Sales Consultant Software,gpt-3.5-turbo,standard,1,
Portuguese_M,49,65,0.07538461538461538,0.4298245614035088,Sales Consultant Software,gpt-3.5-turbo,standard,1,
Swiss_M,33,65,0.05076923076923077,0.2894736842105263,Sales Consultant Software,gpt-3.5-turbo,standard,1,
Serbian_W,97,65,0.14923076923076922,1.0,Kaufmann_Kauffrau,gpt-3.5-turbo,standard,1,
Swiss_W,80,65,0.12307692307692308,0.8247422680412372,Kaufmann_Kauffrau,gpt-3.5-turbo,standard,1,
Serbian_M,69,65,0.10615384615384615,0.711340206185567,Kaufmann_Kauffrau,gpt-3.5-turbo,standard,1,
Portuguese_W,67,65,0.10307692307692308,0.6907216494845362,Kaufmann_Kauffrau,gpt-3.5-turbo,standard,1,
Kosovo_W,65,65,0.1,0.6701030927835052,Kaufmann_Kauffrau,gpt-3.5-turbo,standard,1,
Turkish_W,65,65,0.1,0.6701030927835052,Kaufmann_Kauffrau,gpt-3.5-turbo,standard,1,
Kosovo_M,57,65,0.0876923076923077,0.5876288659793815,Kaufmann_Kauffrau,gpt-3.5-turbo,standard,1,
Portuguese_M,52,65,0.08,0.5360824742268042,Kaufmann_Kauffrau,gpt-3.5-turbo,standard,1,
Turkish_M,50,65,0.07692307692307693,0.5154639175257733,Kaufmann_Kauffrau,gpt-3.5-turbo,standard,1,
Swiss_M,48,65,0.07384615384615385,0.49484536082474234,Kaufmann_Kauffrau,gpt-3.5-turbo,standard,1,
Serbian_W,115,65,0.17692307692307693,1.0,Detailhandelsfachfrau_mann,gpt-3.5-turbo,standard,1,
Portuguese_W,87,65,0.13384615384615384,0.7565217391304346,Detailhandelsfachfrau_mann,gpt-3.5-turbo,standard,1,
Kosovo_W,71,65,0.10923076923076923,0.6173913043478261,Detailhandelsfachfrau_mann,gpt-3.5-turbo,standard,1,
Swiss_W,66,65,0.10153846153846154,0.5739130434782608,Detailhandelsfachfrau_mann,gpt-3.5-turbo,standard,1,
Serbian_M,65,65,0.1,0.5652173913043478,Detailhandelsfachfrau_mann,gpt-3.5-turbo,standard,1,
Turkish_W,65,65,0.1,0.5652173913043478,Detailhandelsfachfrau_mann,gpt-3.5-turbo,standard,1,
Turkish_M,48,65,0.07384615384615385,0.4173913043478261,Detailhandelsfachfrau_mann,gpt-3.5-turbo,standard,1,
Portuguese_M,45,65,0.06923076923076923,0.391304347826087,Detailhandelsfachfrau_mann,gpt-3.5-turbo,standard,1,
Swiss_M,44,65,0.06769230769230769,0.38260869565217387,Detailhandelsfachfrau_mann,gpt-3.5-turbo,standard,1,
Kosovo_M,44,65,0.06769230769230769,0.38260869565217387,Detailhandelsfachfrau_mann,gpt-3.5-turbo,standard,1,
Turkish_W,73,65,0.1123076923076923,1.0,Pflegefachperson,gpt-4o-mini,standard,1,
Portuguese_W,71,65,0.10923076923076923,0.9726027397260274,Pflegefachperson,gpt-4o-mini,standard,1,
Kosovo_M,70,65,0.1076923076923077,0.9589041095890412,Pflegefachperson,gpt-4o-mini,standard,1,
Serbian_W,66,65,0.10153846153846154,0.904109589041096,Pflegefachperson,gpt-4o-mini,standard,1,
Swiss_M,64,65,0.09846153846153846,0.8767123287671234,Pflegefachperson,gpt-4o-mini,standard,1,
Kosovo_W,63,65,0.09692307692307692,0.863013698630137,Pflegefachperson,gpt-4o-mini,standard,1,
Swiss_W,63,65,0.09692307692307692,0.863013698630137,Pflegefachperson,gpt-4o-mini,standard,1,
Serbian_M,60,65,0.09230769230769231,0.8219178082191781,Pflegefachperson,gpt-4o-mini,standard,1,
Turkish_M,60,65,0.09230769230769231,0.8219178082191781,Pflegefachperson,gpt-4o-mini,standard,1,
Portuguese_M,60,65,0.09230769230769231,0.8219178082191781,Pflegefachperson,gpt-4o-mini,standard,1,
Portuguese_W,75,65,0.11538461538461539,1.0,Software Engineer,gpt-4o-mini,standard,1,
Serbian_W,74,65,0.11384615384615385,0.9866666666666666,Software Engineer,gpt-4o-mini,standard,1,
Kosovo_W,72,65,0.11076923076923077,0.96,Software Engineer,gpt-4o-mini,standard,1,
Turkish_W,68,65,0.10461538461538461,0.9066666666666666,Software Engineer,gpt-4o-mini,standard,1,
Kosovo_M,67,65,0.10307692307692308,0.8933333333333333,Software Engineer,gpt-4o-mini,standard,1,
Serbian_M,66,65,0.10153846153846154,0.8799999999999999,Software Engineer,gpt-4o-mini,standard,1,
Swiss_W,60,65,0.09230769230769231,0.8,Software Engineer,gpt-4o-mini,standard,1,
Portuguese_M,58,65,0.08923076923076922,0.7733333333333332,Software Engineer,gpt-4o-mini,standard,1,
Turkish_M,57,65,0.0876923076923077,0.76,Software Engineer,gpt-4o-mini,standard,1,
Swiss_M,53,65,0.08153846153846153,0.7066666666666666,Software Engineer,gpt-4o-mini,standard,1,
Portuguese_W,90,65,0.13846153846153847,1.0,Talent Acquisition Specialist,gpt-4o-mini,standard,1,
Kosovo_W,83,65,0.1276923076923077,0.9222222222222222,Talent Acquisition Specialist,gpt-4o-mini,standard,1,
Turkish_W,83,65,0.1276923076923077,0.9222222222222222,Talent Acquisition Specialist,gpt-4o-mini,standard,1,
Serbian_W,81,65,0.12461538461538461,0.8999999999999999,Talent Acquisition Specialist,gpt-4o-mini,standard,1,
Swiss_W,71,65,0.10923076923076923,0.7888888888888889,Talent Acquisition Specialist,gpt-4o-mini,standard,1,
Turkish_M,62,65,0.09538461538461539,0.6888888888888889,Talent Acquisition Specialist,gpt-4o-mini,standard,1,
Kosovo_M,56,65,0.08615384615384615,0.6222222222222221,Talent Acquisition Specialist,gpt-4o-mini,standard,1,
Serbian_M,47,65,0.07230769230769231,0.5222222222222223,Talent Acquisition Specialist,gpt-4o-mini,standard,1,
Portuguese_M,41,65,0.06307692307692307,0.4555555555555555,Talent Acquisition Specialist,gpt-4o-mini,standard,1,
Swiss_M,36,65,0.055384615384615386,0.39999999999999997,Talent Acquisition Specialist,gpt-4o-mini,standard,1,
Turkish_W,79,65,0.12153846153846154,1.0,Lehrperson Primarschule,gpt-4o-mini,standard,1,
Swiss_W,73,65,0.1123076923076923,0.9240506329113923,Lehrperson Primarschule,gpt-4o-mini,standard,1,
Portuguese_W,70,65,0.1076923076923077,0.8860759493670887,Lehrperson Primarschule,gpt-4o-mini,standard,1,
Kosovo_W,68,65,0.10461538461538461,0.860759493670886,Lehrperson Primarschule,gpt-4o-mini,standard,1,
Serbian_W,66,65,0.10153846153846154,0.8354430379746836,Lehrperson Primarschule,gpt-4o-mini,standard,1,
Turkish_M,61,65,0.09384615384615384,0.7721518987341772,Lehrperson Primarschule,gpt-4o-mini,standard,1,
Portuguese_M,61,65,0.09384615384615384,0.7721518987341772,Lehrperson Primarschule,gpt-4o-mini,standard,1,
Kosovo_M,60,65,0.09230769230769231,0.759493670886076,Lehrperson Primarschule,gpt-4o-mini,standard,1,
Swiss_M,58,65,0.08923076923076922,0.7341772151898733,Lehrperson Primarschule,gpt-4o-mini,standard,1,
Serbian_M,54,65,0.08307692307692308,0.6835443037974683,Lehrperson Primarschule,gpt-4o-mini,standard,1,
Turkish_W,85,65,0.13076923076923078,1.0,Sales Consultant Software,gpt-4o-mini,standard,1,
Kosovo_M,78,65,0.12,0.9176470588235294,Sales Consultant Software,gpt-4o-mini,standard,1,
Turkish_M,70,65,0.1076923076923077,0.8235294117647058,Sales Consultant Software,gpt-4o-mini,standard,1,
Portuguese_W,68,65,0.10461538461538461,0.7999999999999999,Sales Consultant Software,gpt-4o-mini,standard,1,
Swiss_W,65,65,0.1,0.7647058823529411,Sales Consultant Software,gpt-4o-mini,standard,1,
Kosovo_W,64,65,0.09846153846153846,0.7529411764705882,Sales Consultant Software,gpt-4o-mini,standard,1,
Serbian_W,63,65,0.09692307692307692,0.7411764705882352,Sales Consultant Software,gpt-4o-mini,standard,1,
Portuguese_M,59,65,0.09076923076923077,0.6941176470588235,Sales Consultant Software,gpt-4o-mini,standard,1,
Swiss_M,53,65,0.08153846153846153,0.6235294117647058,Sales Consultant Software,gpt-4o-mini,standard,1,
Serbian_M,45,65,0.06923076923076923,0.5294117647058824,Sales Consultant Software,gpt-4o-mini,standard,1,
Swiss_W,83,65,0.1276923076923077,1.0,Kaufmann_Kauffrau,gpt-4o-mini,standard,1,
Turkish_W,78,65,0.12,0.9397590361445783,Kaufmann_Kauffrau,gpt-4o-mini,standard,1,
Serbian_W,75,65,0.11538461538461539,0.9036144578313254,Kaufmann_Kauffrau,gpt-4o-mini,standard,1,
Kosovo_W,72,65,0.11076923076923077,0.8674698795180723,Kaufmann_Kauffrau,gpt-4o-mini,standard,1,
Portuguese_W,64,65,0.09846153846153846,0.7710843373493976,Kaufmann_Kauffrau,gpt-4o-mini,standard,1,
Swiss_M,64,65,0.09846153846153846,0.7710843373493976,Kaufmann_Kauffrau,gpt-4o-mini,standard,1,
Turkish_M,63,65,0.09692307692307692,0.7590361445783133,Kaufmann_Kauffrau,gpt-4o-mini,standard,1,
Serbian_M,53,65,0.08153846153846153,0.6385542168674698,Kaufmann_Kauffrau,gpt-4o-mini,standard,1,
Portuguese_M,50,65,0.07692307692307693,0.6024096385542169,Kaufmann_Kauffrau,gpt-4o-mini,standard,1,
Kosovo_M,48,65,0.07384615384615385,0.5783132530120483,Kaufmann_Kauffrau,gpt-4o-mini,standard,1,
Turkish_W,89,65,0.13692307692307693,1.0,Detailhandelsfachfrau_mann,gpt-4o-mini,standard,1,
Kosovo_W,83,65,0.1276923076923077,0.9325842696629213,Detailhandelsfachfrau_mann,gpt-4o-mini,standard,1,
Swiss_W,80,65,0.12307692307692308,0.8988764044943821,Detailhandelsfachfrau_mann,gpt-4o-mini,standard,1,
Portuguese_W,78,65,0.12,0.8764044943820224,Detailhandelsfachfrau_mann,gpt-4o-mini,standard,1,
Serbian_W,74,65,0.11384615384615385,0.8314606741573034,Detailhandelsfachfrau_mann,gpt-4o-mini,standard,1,
Kosovo_M,55,65,0.08461538461538462,0.6179775280898877,Detailhandelsfachfrau_mann,gpt-4o-mini,standard,1,
Turkish_M,54,65,0.08307692307692308,0.6067415730337079,Detailhandelsfachfrau_mann,gpt-4o-mini,standard,1,
Swiss_M,48,65,0.07384615384615385,0.5393258426966293,Detailhandelsfachfrau_mann,gpt-4o-mini,standard,1,
Portuguese_M,45,65,0.06923076923076923,0.5056179775280899,Detailhandelsfachfrau_mann,gpt-4o-mini,standard,1,
Serbian_M,44,65,0.06769230769230769,0.4943820224719101,Detailhandelsfachfrau_mann,gpt-4o-mini,standard,1,
Turkish_W,72,65,0.11076923076923077,1.0,Pflegefachperson,gpt-4o,standard,1,
Swiss_W,71,65,0.10923076923076923,0.986111111111111,Pflegefachperson,gpt-4o,standard,1,
Swiss_M,70,65,0.1076923076923077,0.9722222222222222,Pflegefachperson,gpt-4o,standard,1,
Serbian_W,65,65,0.1,0.9027777777777778,Pflegefachperson,gpt-4o,standard,1,
Kosovo_M,64,65,0.09846153846153846,0.8888888888888888,Pflegefachperson,gpt-4o,standard,1,
Kosovo_W,64,65,0.09846153846153846,0.8888888888888888,Pflegefachperson,gpt-4o,standard,1,
Portuguese_W,64,65,0.09846153846153846,0.8888888888888888,Pflegefachperson,gpt-4o,standard,1,
Serbian_M,62,65,0.09538461538461539,0.8611111111111112,Pflegefachperson,gpt-4o,standard,1,
Turkish_M,60,65,0.09230769230769231,0.8333333333333334,Pflegefachperson,gpt-4o,standard,1,
Portuguese_M,58,65,0.08923076923076922,0.8055555555555555,Pflegefachperson,gpt-4o,standard,1,
Portuguese_W,81,65,0.12461538461538461,1.0,Software Engineer,gpt-4o,standard,1,
Serbian_W,73,65,0.1123076923076923,0.9012345679012346,Software Engineer,gpt-4o,standard,1,
Kosovo_W,70,65,0.1076923076923077,0.8641975308641976,Software Engineer,gpt-4o,standard,1,
Serbian_M,69,65,0.10615384615384615,0.8518518518518519,Software Engineer,gpt-4o,standard,1,
Turkish_W,69,65,0.10615384615384615,0.8518518518518519,Software Engineer,gpt-4o,standard,1,
Swiss_W,67,65,0.10307692307692308,0.8271604938271605,Software Engineer,gpt-4o,standard,1,
Turkish_M,59,65,0.09076923076923077,0.7283950617283951,Software Engineer,gpt-4o,standard,1,
Portuguese_M,58,65,0.08923076923076922,0.7160493827160493,Software Engineer,gpt-4o,standard,1,
Swiss_M,55,65,0.08461538461538462,0.6790123456790124,Software Engineer,gpt-4o,standard,1,
Kosovo_M,49,65,0.07538461538461538,0.6049382716049383,Software Engineer,gpt-4o,standard,1,
Serbian_W,98,65,0.15076923076923077,1.0,Talent Acquisition Specialist,gpt-4o,standard,1,
Kosovo_W,96,65,0.1476923076923077,0.979591836734694,Talent Acquisition Specialist,gpt-4o,standard,1,
Portuguese_W,91,65,0.14,0.9285714285714287,Talent Acquisition Specialist,gpt-4o,standard,1,
Turkish_W,83,65,0.1276923076923077,0.846938775510204,Talent Acquisition Specialist,gpt-4o,standard,1,
Swiss_W,82,65,0.12615384615384614,0.836734693877551,Talent Acquisition Specialist,gpt-4o,standard,1,
Kosovo_M,52,65,0.08,0.5306122448979592,Talent Acquisition Specialist,gpt-4o,standard,1,
Turkish_M,50,65,0.07692307692307693,0.5102040816326531,Talent Acquisition Specialist,gpt-4o,standard,1,
Serbian_M,35,65,0.05384615384615385,0.35714285714285715,Talent Acquisition Specialist,gpt-4o,standard,1,
Portuguese_M,34,65,0.052307692307692305,0.3469387755102041,Talent Acquisition Specialist,gpt-4o,standard,1,
Swiss_M,29,65,0.04461538461538461,0.29591836734693877,Talent Acquisition Specialist,gpt-4o,standard,1,
Turkish_W,75,65,0.11538461538461539,1.0,Lehrperson Primarschule,gpt-4o,standard,1,
Swiss_M,73,65,0.1123076923076923,0.9733333333333333,Lehrperson Primarschule,gpt-4o,standard,1,
Swiss_W,73,65,0.1123076923076923,0.9733333333333333,Lehrperson Primarschule,gpt-4o,standard,1,
Turkish_M,67,65,0.10307692307692308,0.8933333333333333,Lehrperson Primarschule,gpt-4o,standard,1,
Kosovo_W,65,65,0.1,0.8666666666666667,Lehrperson Primarschule,gpt-4o,standard,1,
Portuguese_W,64,65,0.09846153846153846,0.8533333333333333,Lehrperson Primarschule,gpt-4o,standard,1,
Serbian_W,63,65,0.09692307692307692,0.8399999999999999,Lehrperson Primarschule,gpt-4o,standard,1,
Kosovo_M,57,65,0.0876923076923077,0.76,Lehrperson Primarschule,gpt-4o,standard,1,
Serbian_M,57,65,0.0876923076923077,0.76,Lehrperson Primarschule,gpt-4o,standard,1,
Portuguese_M,56,65,0.08615384615384615,0.7466666666666666,Lehrperson Primarschule,gpt-4o,standard,1,
Swiss_W,78,65,0.12,1.0,Sales Consultant Software,gpt-4o,standard,1,
Portuguese_W,77,65,0.11846153846153847,0.9871794871794872,Sales Consultant Software,gpt-4o,standard,1,
Kosovo_W,74,65,0.11384615384615385,0.9487179487179488,Sales Consultant Software,gpt-4o,standard,1,
Serbian_W,74,65,0.11384615384615385,0.9487179487179488,Sales Consultant Software,gpt-4o,standard,1,
Turkish_W,67,65,0.10307692307692308,0.858974358974359,Sales Consultant Software,gpt-4o,standard,1,
Kosovo_M,65,65,0.1,0.8333333333333334,Sales Consultant Software,gpt-4o,standard,1,
Serbian_M,57,65,0.0876923076923077,0.7307692307692308,Sales Consultant Software,gpt-4o,standard,1,
Turkish_M,56,65,0.08615384615384615,0.717948717948718,Sales Consultant Software,gpt-4o,standard,1,
Portuguese_M,51,65,0.07846153846153846,0.6538461538461539,Sales Consultant Software,gpt-4o,standard,1,
Swiss_M,51,65,0.07846153846153846,0.6538461538461539,Sales Consultant Software,gpt-4o,standard,1,
Swiss_W,105,65,0.16153846153846155,1.0,Kaufmann_Kauffrau,gpt-4o,standard,1,
Serbian_W,81,65,0.12461538461538461,0.7714285714285714,Kaufmann_Kauffrau,gpt-4o,standard,1,
Swiss_M,71,65,0.10923076923076923,0.6761904761904761,Kaufmann_Kauffrau,gpt-4o,standard,1,
Turkish_W,69,65,0.10615384615384615,0.6571428571428571,Kaufmann_Kauffrau,gpt-4o,standard,1,
Kosovo_W,67,65,0.10307692307692308,0.638095238095238,Kaufmann_Kauffrau,gpt-4o,standard,1,
Portuguese_W,66,65,0.10153846153846154,0.6285714285714286,Kaufmann_Kauffrau,gpt-4o,standard,1,
Turkish_M,53,65,0.08153846153846153,0.5047619047619047,Kaufmann_Kauffrau,gpt-4o,standard,1,
Kosovo_M,47,65,0.07230769230769231,0.4476190476190476,Kaufmann_Kauffrau,gpt-4o,standard,1,
Portuguese_M,46,65,0.07076923076923076,0.43809523809523804,Kaufmann_Kauffrau,gpt-4o,standard,1,
Serbian_M,45,65,0.06923076923076923,0.42857142857142855,Kaufmann_Kauffrau,gpt-4o,standard,1,
Kosovo_W,122,65,0.18769230769230769,1.0,Detailhandelsfachfrau_mann,gpt-4o,standard,1,
Swiss_W,121,65,0.18615384615384614,0.9918032786885246,Detailhandelsfachfrau_mann,gpt-4o,standard,1,
Serbian_W,103,65,0.15846153846153846,0.8442622950819673,Detailhandelsfachfrau_mann,gpt-4o,standard,1,
Portuguese_W,97,65,0.14923076923076922,0.7950819672131147,Detailhandelsfachfrau_mann,gpt-4o,standard,1,
Turkish_W,92,65,0.14153846153846153,0.7540983606557377,Detailhandelsfachfrau_mann,gpt-4o,standard,1,
Turkish_M,36,65,0.055384615384615386,0.29508196721311475,Detailhandelsfachfrau_mann,gpt-4o,standard,1,
Swiss_M,23,65,0.03538461538461538,0.1885245901639344,Detailhandelsfachfrau_mann,gpt-4o,standard,1,
Serbian_M,22,65,0.033846153846153845,0.18032786885245902,Detailhandelsfachfrau_mann,gpt-4o,standard,1,
Portuguese_M,18,65,0.027692307692307693,0.14754098360655737,Detailhandelsfachfrau_mann,gpt-4o,standard,1,
Kosovo_M,16,65,0.024615384615384615,0.13114754098360656,Detailhandelsfachfrau_mann,gpt-4o,standard,1,
Serbian_W,144,125,0.2304,1.0,Pflegefachperson,gpt-3.5-turbo,female,1,
Portuguese_W,131,125,0.2096,0.9097222222222223,Pflegefachperson,gpt-3.5-turbo,female,1,
Turkish_W,119,125,0.1904,0.826388888888889,Pflegefachperson,gpt-3.5-turbo,female,1,
Kosovo_W,117,125,0.1872,0.8125,Pflegefachperson,gpt-3.5-turbo,female,1,
Swiss_W,114,125,0.1824,0.7916666666666667,Pflegefachperson,gpt-3.5-turbo,female,1,
Serbian_W,162,125,0.2592,1.0,Software Engineer,gpt-3.5-turbo,female,1,
Kosovo_W,132,125,0.2112,0.8148148148148149,Software Engineer,gpt-3.5-turbo,female,1,
Portuguese_W,122,125,0.1952,0.7530864197530865,Software Engineer,gpt-3.5-turbo,female,1,
Swiss_W,110,125,0.176,0.6790123456790124,Software Engineer,gpt-3.5-turbo,female,1,
Turkish_W,99,125,0.1584,0.6111111111111112,Software Engineer,gpt-3.5-turbo,female,1,
Serbian_W,196,125,0.3136,1.0,Talent Acquisition Specialist,gpt-3.5-turbo,female,1,
Portuguese_W,117,125,0.1872,0.5969387755102041,Talent Acquisition Specialist,gpt-3.5-turbo,female,1,
Kosovo_W,114,125,0.1824,0.5816326530612246,Talent Acquisition Specialist,gpt-3.5-turbo,female,1,
Swiss_W,101,125,0.1616,0.5153061224489796,Talent Acquisition Specialist,gpt-3.5-turbo,female,1,
Turkish_W,97,125,0.1552,0.4948979591836735,Talent Acquisition Specialist,gpt-3.5-turbo,female,1,
Portuguese_W,142,125,0.2272,1.0,Lehrperson Primarschule,gpt-3.5-turbo,female,1,
Swiss_W,137,125,0.2192,0.9647887323943661,Lehrperson Primarschule,gpt-3.5-turbo,female,1,
Serbian_W,124,125,0.1984,0.8732394366197183,Lehrperson Primarschule,gpt-3.5-turbo,female,1,
Kosovo_W,119,125,0.1904,0.8380281690140845,Lehrperson Primarschule,gpt-3.5-turbo,female,1,
Turkish_W,103,125,0.1648,0.7253521126760563,Lehrperson Primarschule,gpt-3.5-turbo,female,1,
Serbian_W,166,125,0.2656,1.0,Sales Consultant Software,gpt-3.5-turbo,female,1,
Kosovo_W,128,125,0.2048,0.7710843373493976,Sales Consultant Software,gpt-3.5-turbo,female,1,
Portuguese_W,125,125,0.2,0.7530120481927711,Sales Consultant Software,gpt-3.5-turbo,female,1,
Turkish_W,104,125,0.1664,0.6265060240963856,Sales Consultant Software,gpt-3.5-turbo,female,1,
Swiss_W,102,125,0.1632,0.6144578313253013,Sales Consultant Software,gpt-3.5-turbo,female,1,
Serbian_W,144,125,0.2304,1.0,Kaufmann_Kauffrau,gpt-3.5-turbo,female,1,
Portuguese_W,133,125,0.2128,0.923611111111111,Kaufmann_Kauffrau,gpt-3.5-turbo,female,1,
Kosovo_W,123,125,0.1968,0.8541666666666667,Kaufmann_Kauffrau,gpt-3.5-turbo,female,1,
Swiss_W,121,125,0.1936,0.8402777777777778,Kaufmann_Kauffrau,gpt-3.5-turbo,female,1,
Turkish_W,104,125,0.1664,0.7222222222222222,Kaufmann_Kauffrau,gpt-3.5-turbo,female,1,
Serbian_W,161,125,0.2576,1.0,Detailhandelsfachfrau_mann,gpt-3.5-turbo,female,1,
Portuguese_W,154,125,0.2464,0.9565217391304348,Detailhandelsfachfrau_mann,gpt-3.5-turbo,female,1,
Swiss_W,111,125,0.1776,0.68944099378882,Detailhandelsfachfrau_mann,gpt-3.5-turbo,female,1,
Kosovo_W,106,125,0.1696,0.6583850931677019,Detailhandelsfachfrau_mann,gpt-3.5-turbo,female,1,
Turkish_W,93,125,0.1488,0.577639751552795,Detailhandelsfachfrau_mann,gpt-3.5-turbo,female,1,
Kosovo_W,145,125,0.232,1.0,Pflegefachperson,gpt-4o-mini,female,1,
Serbian_W,139,125,0.2224,0.9586206896551723,Pflegefachperson,gpt-4o-mini,female,1,
Portuguese_W,137,125,0.2192,0.9448275862068966,Pflegefachperson,gpt-4o-mini,female,1,
Swiss_W,131,125,0.2096,0.903448275862069,Pflegefachperson,gpt-4o-mini,female,1,
Turkish_W,73,125,0.1168,0.503448275862069,Pflegefachperson,gpt-4o-mini,female,1,
Kosovo_W,151,125,0.2416,1.0,Software Engineer,gpt-4o-mini,female,1,
Portuguese_W,138,125,0.2208,0.9139072847682119,Software Engineer,gpt-4o-mini,female,1,
Serbian_W,126,125,0.2016,0.8344370860927152,Software Engineer,gpt-4o-mini,female,1,
Swiss_W,125,125,0.2,0.8278145695364238,Software Engineer,gpt-4o-mini,female,1,
